--- Execution profile ---
Total samples       : 2579

          ns  percent  samples  top
    10000000    0.08%        2  OopFlow::build_oop_map
    10000000    0.08%        2  Node::hash
    10000000    0.08%        2  inflate
    10000000    0.08%        2  org.eclipse.rdf4j.common.net.ParsedIRI.parse
    10000000    0.08%        2  Parse::Parse
    10000000    0.08%        2  fwd_copy_aligned
    10000000    0.08%        2  fwd_copy_again
    10000000    0.08%        2  ParsePredicate::init_parse_predicate
    10000000    0.08%        2  Node::grow
    10000000    0.08%        2  copy_byte_f
    10000000    0.08%        2  org.eclipse.rdf4j.common.net.ParsedIRI.parseHost
    10000000    0.08%        2  org.eclipse.rdf4j.common.net.ParsedIRI.parseMember
    10000000    0.08%        2  ciObjectFactory::get_metadata
    10000000    0.08%        2  ciMethodBlocks::do_analysis
    10000000    0.08%        2  org.eclipse.collections.impl.map.mutable.primitive.LongLongHashMap.addToValue
    10000000    0.08%        2  PhaseCCP::push_more_uses
    10000000    0.08%        2  Node::dominates
    10000000    0.08%        2  PhaseCFG::build_cfg
    10000000    0.08%        2  _xzm_xzone_malloc_small_freelist
    10000000    0.08%        2  PhaseCFG::hoist_to_cheaper_block
    10000000    0.08%        2  java.lang.String.codePointBefore
    10000000    0.08%        2  java.lang.String.coder
    10000000    0.08%        2  org.eclipse.rdf4j.model.base.InternedIRI.hashCode
